Close,High,Low,Open,Volume
XLE,XLE,XLE,XLE,XLE
11.746050834655762,11.809159234036047,11.706608085043083,11.769716484423368,15200
11.990595817565918,11.990595817565916,11.769716420926544,11.785493520686499,67800
11.927485466003418,12.022148049066937,11.911708368826165,12.022148049066937,12300
11.864383697509766,11.990600545355615,11.78549816760611,11.990600545355615,13500
11.982707023620605,11.982707023620605,11.78549328063804,11.895932976708277,22000
11.801265716552734,11.974813741796158,11.793377169950762,11.974813741796158,21800
11.78549575805664,11.78549575805664,11.722387347036257,11.78549575805664,13000
11.777607917785645,11.99059881783937,11.753942262224118,11.753942262224118,28600
11.714494705200195,11.848600031791714,11.698717607954135,11.848600031791714,42700
12.101032257080078,12.116809352591265,11.769713251345161,11.848598728901093,56400
12.045819282531738,12.108927700514878,11.903825342069675,12.101039148266986,72600
12.101032257080078,12.400797071792622,11.801267442367534,12.116809352591265,421100
11.87226676940918,12.006372108332739,11.832824022666957,11.990595009635848,35000
11.690828323364258,11.911707670904203,11.675051227111405,11.864376382145643,89200
11.517285346984863,11.706610585565436,11.454176934124673,11.485731140554767,42400
11.296402931213379,11.548836516268427,11.29640293121338,11.485728120004666,70000
11.469950675964355,11.485727774555778,11.335845337937261,11.39106518300724,10700
11.469950675964355,11.517281971738623,11.375288084415818,11.517281971738623,12800
11.375287055969238,11.517280930454291,11.367398507386735,11.40684125029925,15800
11.469950675964355,11.564613267512891,11.359510985824395,11.375288084415818,23900
11.406848907470703,11.517288661761567,11.391071799714865,11.485734446249891,19300
11.391061782836914,11.454170158365097,11.296399219544641,11.454170158365097,18200
11.280621528625488,11.406838273001718,11.185958970343316,11.406838273001718,25700
11.075521469116211,11.296400814654142,11.043967276896506,11.296400814654142,37100
11.012414932250977,11.107077524791817,10.917752339710137,11.107077524791817,30800
11.012414932250977,11.012414932250978,10.823089747169298,10.949306537223752,18600
10.9019775390625,11.043971457805716,10.9019775390625,11.012417253640557,23100
10.917753219604492,11.012415819774473,10.8704219195195,10.917753219604492,26500
11.170186042785645,11.233294438507599,10.980860855619788,10.980860855619788,29400
11.233291625976562,11.26484581593717,11.138629056094736,11.170183246055345,26000
11.54883861541748,11.580392819284741,11.20174237287761,11.264850780612132,66000
11.706605911254883,11.706605911254883,11.58038913593138,11.596166232846818,31100
11.485729217529297,11.722385726132236,11.485729217529297,11.722385726132236,64300
11.517285346984863,11.643502172705245,11.454176934124673,11.53306245019991,69300
11.422624588012695,11.46995590536634,11.249076424382668,11.46995590536634,216800
11.185964584350586,11.422621098829088,11.185964584350586,11.29640429110722,242300
11.107074737548828,11.327954064715993,10.996635073965248,11.272734232924202,36600
10.996631622314453,11.154402520769468,10.980854532468951,11.043962891850958,41700
11.028191566467285,11.091299958836196,10.870420585545006,10.9808602721906,83000
10.965081214904785,11.09129797709074,10.870418643265321,11.075520881817496,130300
11.075521469116211,11.107075661335916,10.949304700237393,11.043967276896506,79500
10.98085880279541,11.154406858586718,10.98085880279541,11.107075570643634,309600
10.933530807495117,11.154410217747543,10.933530807495117,11.012416311156697,34500
10.988747596740723,11.059744530244433,10.917750663237015,10.925639211404093,44600
10.917753219604492,11.107078419944454,10.917753219604492,11.028192919802803,24900
10.807313919067383,10.949307824573378,10.775759717843828,10.941419274267489,13300
10.69687271118164,10.870420793516445,10.64954141599942,10.823089498334225,55100
10.933530807495117,10.980862109692065,10.71265139724269,10.791536900904271,103300
11.327957153320312,11.39106554971764,11.028192270433005,11.028192270433005,90400
11.540947914123535,11.627721958590628,11.422619671668407,11.611944859596612,92700
11.706605911254883,11.73816010508576,11.556723490558223,11.604054781304537,107600
11.580384254455566,11.769709337634676,11.533052983660788,11.580384254455566,79000
12.24302864074707,12.27458283827477,11.627721788956947,11.627721788956947,1733800
12.416581153869629,12.747900346031335,12.24303300559445,12.621683510922113,909000
12.369241714477539,12.653229406901767,12.243024962288992,12.558566842760357,604300
12.274580001831055,12.432350953011403,12.124697598209725,12.400796762775332,523000
12.21147632598877,12.274584730774242,12.116813718810562,12.164145022399666,273300
12.527017593383789,12.542794693627346,12.243029788999774,12.274583989486887,362800
12.684791564941406,12.779454188560372,12.59012894132244,12.747899980687382,332600
12.556211471557617,12.80955243441376,12.477042420665072,12.793718624235252,260400
12.635384559631348,12.730387451057148,12.532464760586732,12.667052190106615,165000
12.413708686828613,12.540379183632988,12.28703819002424,12.540379183632988,137900
12.35037899017334,12.52455100157322,12.239542255646144,12.477049543918708,61100
12.382049560546875,12.445384852416682,12.192043684937461,12.318714268677072,166500
12.540380477905273,12.603715732844188,12.397876154292714,12.508712850435815,44700
12.888727188110352,13.015397725585636,12.841225736557119,12.857059553741529,84400
12.651224136352539,12.825396183286053,12.619556491455535,12.809562360837552,60800
12.461220741271973,12.762063427528856,12.461220741271973,12.746229601936388,67000
12.445379257202148,12.49288070474872,12.310791822486857,12.477046888899862,22000
12.746227264404297,12.793728732470399,12.445384633318978,12.445384633318978,58400
12.61954402923584,12.73038067692047,12.524541188363298,12.71454687010838,42600
12.492878913879395,12.619549422511884,12.397876032405026,12.603715608932823,836400
12.61954402923584,12.76204829054465,12.500790478145163,12.548291898581434,852300
12.85705852508545,12.920393788755822,12.61163437836276,12.627468194280354,52400
12.95206356048584,13.047066471687447,12.793725375149826,12.793725375149826,62500
12.936224937438965,13.03914471968297,12.872889686827268,12.872889686827268,67800
12.777894020080566,12.999567522287663,12.777894020080566,12.920398414356557,27000
13.332064628601074,13.395399852489914,12.857050449434764,12.857050449434764,259400
