Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Date,,,,,
2023-07-14 19:00:00,15703.0,15706.0,15663.0,15697.5,0
2023-07-14 20:00:00,15693.75,15711.25,15691.0,15703.0,14214
2023-07-16 22:00:00,15678.25,15690.25,15675.0,15690.0,3702
2023-07-16 23:00:00,15666.75,15682.0,15661.5,15678.0,3293
2023-07-17 00:00:00,15675.75,15681.25,15662.5,15666.75,3298
2023-07-17 01:00:00,15677.75,15689.25,15670.0,15676.0,3794
2023-07-17 02:00:00,15679.5,15686.5,15667.25,15677.0,2759
2023-07-17 03:00:00,15676.5,15684.5,15673.5,15679.75,1883
2023-07-17 04:00:00,15681.75,15682.75,15673.25,15676.75,1686
2023-07-17 05:00:00,15683.25,15691.5,15681.0,15681.5,2712
2023-07-17 06:00:00,15694.5,15697.5,15676.5,15682.75,3464
2023-07-17 07:00:00,15716.25,15721.75,15687.5,15694.75,7974
2023-07-17 08:00:00,15711.25,15728.5,15710.25,15716.5,6041
2023-07-17 09:00:00,15689.0,15713.25,15686.75,15710.75,7056
2023-07-17 10:00:00,15685.75,15698.75,15678.75,15688.75,5867
2023-07-17 11:00:00,15689.5,15703.75,15685.25,15685.75,6201
2023-07-17 12:00:00,15709.0,15709.5,15679.25,15689.75,10454
2023-07-17 13:00:00,15740.25,15781.5,15703.25,15709.25,86414
2023-07-17 14:00:00,15755.25,15772.25,15728.75,15740.25,74770
2023-07-17 15:00:00,15807.5,15811.0,15740.5,15755.75,67443
2023-07-17 16:00:00,15795.5,15809.25,15760.25,15806.75,46080
2023-07-17 17:00:00,15819.25,15821.25,15779.75,15795.25,36758
2023-07-17 18:00:00,15825.5,15835.75,15807.5,15819.5,36722
2023-07-17 19:00:00,15844.75,15882.75,15823.0,15825.75,80517
2023-07-17 20:00:00,15826.25,15845.0,15821.5,15845.0,14427
2023-07-17 22:00:00,15818.5,15834.75,15816.0,15832.0,0
2023-07-17 23:00:00,15818.75,15828.5,15816.25,15819.5,2262
2023-07-18 00:00:00,15815.5,15825.75,15809.75,15818.5,3613
2023-07-18 01:00:00,15809.25,15826.5,15799.25,15815.25,5678
2023-07-18 02:00:00,15815.0,15816.75,15805.0,15809.0,3052
2023-07-18 03:00:00,15814.0,15820.5,15812.25,15814.75,2085
2023-07-18 04:00:00,15816.25,15818.0,15811.5,15813.75,1400
2023-07-18 05:00:00,15823.5,15832.0,15813.75,15815.75,3881
2023-07-18 06:00:00,15824.0,15825.25,15815.5,15823.5,2470
2023-07-18 07:00:00,15831.5,15841.75,15816.75,15823.25,5991
2023-07-18 08:00:00,15823.75,15843.75,15817.5,15832.0,5211
2023-07-18 09:00:00,15830.5,15834.25,15821.75,15823.75,2810
2023-07-18 10:00:00,15822.25,15834.0,15813.0,15830.75,5105
2023-07-18 11:00:00,15820.75,15832.0,15811.25,15822.0,5844
2023-07-18 12:00:00,15812.5,15837.75,15796.0,15820.5,20652
2023-07-18 13:00:00,15779.0,15819.0,15733.0,15812.5,96440
2023-07-18 14:00:00,15789.75,15801.5,15752.75,15778.5,82277
2023-07-18 15:00:00,15882.0,15889.0,15772.75,15790.25,91471
2023-07-18 16:00:00,15906.75,15927.5,15867.75,15882.25,78399
2023-07-18 17:00:00,15952.5,15952.75,15905.25,15907.0,47081
2023-07-18 18:00:00,16004.25,16012.5,15948.75,15952.25,57852
2023-07-18 19:00:00,15972.75,16029.75,15970.25,16004.0,79333
2023-07-18 20:00:00,15948.25,15973.0,15947.5,15972.75,18484
2023-07-18 22:00:00,15959.25,15964.5,15945.0,15949.25,0
2023-07-18 23:00:00,15961.75,15967.25,15959.0,15959.0,2116
2023-07-19 00:00:00,15958.0,15962.0,15952.5,15961.0,2819
2023-07-19 01:00:00,15962.0,15967.75,15953.25,15958.0,3443
2023-07-19 02:00:00,15958.75,15962.75,15953.0,15961.75,2600
2023-07-19 03:00:00,15963.25,15965.75,15957.75,15958.25,1847
2023-07-19 04:00:00,15957.0,15963.5,15957.0,15963.0,1334
2023-07-19 05:00:00,15963.25,15967.25,15957.0,15957.25,3058
2023-07-19 06:00:00,15984.0,15987.75,15959.25,15963.5,7563
2023-07-19 07:00:00,15972.75,15990.75,15970.75,15984.0,7031
2023-07-19 08:00:00,15987.5,15992.5,15964.0,15972.5,6726
2023-07-19 09:00:00,16002.75,16009.75,15979.5,15987.0,6693
2023-07-19 10:00:00,16005.0,16005.5,15986.0,16002.75,5564
2023-07-19 11:00:00,15992.0,16008.75,15981.75,16005.25,10318
2023-07-19 12:00:00,16009.75,16014.75,15990.5,15992.5,13276
2023-07-19 13:00:00,16002.0,16037.0,15977.5,16009.25,94303
2023-07-19 14:00:00,16001.0,16043.75,15971.0,16002.5,114100
2023-07-19 15:00:00,16025.75,16049.75,15990.75,16001.5,72247
2023-07-19 16:00:00,15974.75,16062.75,15947.75,16025.25,113444
2023-07-19 17:00:00,15948.0,15979.25,15927.0,15974.5,55277
2023-07-19 18:00:00,15952.0,15955.0,15911.25,15948.25,50436
2023-07-19 19:00:00,15956.75,16000.0,15951.0,15952.25,66866
2023-07-19 20:00:00,15959.25,15975.5,15920.25,15957.0,30359
2023-07-19 22:00:00,15857.0,15925.75,15845.25,15922.75,0
2023-07-19 23:00:00,15857.0,15863.0,15842.25,15857.75,4859
2023-07-20 00:00:00,15871.75,15877.0,15856.0,15857.0,4817
2023-07-20 01:00:00,15888.0,15896.5,15870.0,15872.0,5729
2023-07-20 02:00:00,15883.0,15892.75,15870.75,15888.0,4824
2023-07-20 03:00:00,15883.0,15886.25,15876.5,15882.75,2657
2023-07-20 04:00:00,15889.25,15891.75,15882.0,15883.5,2795
2023-07-20 05:00:00,15897.75,15898.5,15886.25,15889.5,2869
2023-07-20 06:00:00,15851.75,15904.25,15845.0,15897.75,7794
2023-07-20 07:00:00,15850.25,15859.75,15837.25,15851.25,9794
2023-07-20 08:00:00,15832.5,15860.0,15821.75,15850.0,11853
2023-07-20 09:00:00,15833.5,15835.25,15817.25,15832.25,6433
2023-07-20 10:00:00,15859.75,15865.5,15832.25,15833.25,8073
2023-07-20 11:00:00,15868.25,15870.0,15837.75,15860.0,9498
2023-07-20 12:00:00,15832.25,15873.0,15818.5,15868.75,17673
2023-07-20 13:00:00,15861.0,15895.0,15805.25,15832.0,97474
2023-07-20 14:00:00,15726.0,15865.5,15699.5,15861.5,152480
2023-07-20 15:00:00,15744.0,15785.0,15721.75,15725.75,82590
2023-07-20 16:00:00,15693.25,15782.0,15684.5,15744.0,74982
2023-07-20 17:00:00,15689.25,15714.75,15679.25,15693.5,57077
2023-07-20 18:00:00,15606.0,15689.75,15605.25,15689.5,85434
2023-07-20 19:00:00,15588.25,15620.5,15547.0,15606.5,117397
2023-07-20 20:00:00,15596.25,15604.25,15587.25,15588.0,16757
2023-07-20 22:00:00,15581.25,15602.25,15575.25,15590.75,0
2023-07-20 23:00:00,15580.0,15592.25,15577.0,15581.25,2830
