Date,Date,Close,High,Low,Open,Volume
40,2023-07-18 14:00:00,101.9765625,102.00390625,101.96484375,101.97265625,31208
41,2023-07-18 15:00:00,101.9296875,101.98828125,101.91796875,101.97265625,35057
42,2023-07-18 16:00:00,101.89453125,101.93359375,101.88671875,101.9296875,25704
43,2023-07-18 17:00:00,101.8984375,101.91015625,101.890625,101.8984375,17858
44,2023-07-18 18:00:00,101.890625,101.8984375,101.87890625,101.89453125,15502
45,2023-07-18 19:00:00,101.875,101.89453125,101.86328125,101.890625,23250
46,2023-07-18 20:00:00,101.859375,101.890625,101.859375,101.875,0
47,2023-07-18 22:00:00,101.87109375,101.87890625,101.859375,101.859375,2228
48,2023-07-18 23:00:00,101.859375,101.875,101.85546875,101.87109375,1911
49,2023-07-19 00:00:00,101.890625,101.890625,101.859375,101.859375,4166
50,2023-07-19 01:00:00,101.88671875,101.89453125,101.8828125,101.890625,2020
51,2023-07-19 02:00:00,101.8984375,101.90234375,101.88671875,101.88671875,3753
52,2023-07-19 03:00:00,101.91015625,101.9140625,101.89453125,101.8984375,4828
53,2023-07-19 04:00:00,101.8984375,101.90625,101.89453125,101.90625,1594
54,2023-07-19 05:00:00,101.90625,101.921875,101.89453125,101.8984375,4914
55,2023-07-19 06:00:00,101.96875,101.9921875,101.90625,101.90625,38000
56,2023-07-19 07:00:00,101.94140625,102.00390625,101.94140625,101.96875,22879
57,2023-07-19 08:00:00,101.94921875,101.953125,101.94140625,101.9453125,10715
58,2023-07-19 09:00:00,101.9296875,101.953125,101.92578125,101.94921875,10438
59,2023-07-19 10:00:00,101.9453125,101.9453125,101.921875,101.92578125,6003
60,2023-07-19 11:00:00,101.9296875,101.953125,101.91796875,101.9453125,20625
61,2023-07-19 12:00:00,101.9453125,101.9765625,101.9296875,101.9296875,35880
62,2023-07-19 13:00:00,101.91796875,101.953125,101.91015625,101.94140625,34046
63,2023-07-19 14:00:00,101.8984375,101.9140625,101.85546875,101.9140625,44032
64,2023-07-19 15:00:00,101.83203125,101.90234375,101.828125,101.89453125,42025
65,2023-07-19 16:00:00,101.875,101.88671875,101.828125,101.828125,38665
66,2023-07-19 17:00:00,101.890625,101.890625,101.8359375,101.875,31831
67,2023-07-19 18:00:00,101.890625,101.91015625,101.87109375,101.890625,39903
68,2023-07-19 19:00:00,101.875,101.890625,101.859375,101.890625,23827
69,2023-07-19 20:00:00,101.86328125,101.88671875,101.8515625,101.875,0
70,2023-07-19 22:00:00,101.859375,101.87109375,101.85546875,101.86328125,2197
71,2023-07-19 23:00:00,101.859375,101.87109375,101.859375,101.859375,1688
72,2023-07-20 00:00:00,101.86328125,101.87890625,101.859375,101.859375,3748
73,2023-07-20 01:00:00,101.8515625,101.86328125,101.83984375,101.859375,4296
74,2023-07-20 02:00:00,101.8359375,101.84765625,101.83203125,101.84765625,4651
75,2023-07-20 03:00:00,101.84765625,101.84765625,101.83203125,101.83203125,1023
76,2023-07-20 04:00:00,101.84765625,101.8515625,101.84375,101.84375,2044
77,2023-07-20 05:00:00,101.84375,101.8515625,101.83984375,101.84375,997
78,2023-07-20 06:00:00,101.8359375,101.84765625,101.83203125,101.84765625,2436
79,2023-07-20 07:00:00,101.8046875,101.8515625,101.79296875,101.8359375,19101
80,2023-07-20 08:00:00,101.796875,101.8125,101.78515625,101.80078125,7972
81,2023-07-20 09:00:00,101.76953125,101.8046875,101.765625,101.796875,9054
82,2023-07-20 10:00:00,101.75,101.77734375,101.73828125,101.76953125,15383
83,2023-07-20 11:00:00,101.7734375,101.77734375,101.7421875,101.74609375,17268
84,2023-07-20 12:00:00,101.703125,101.78125,101.65625,101.76953125,117271
85,2023-07-20 13:00:00,101.703125,101.71875,101.68359375,101.703125,65825
86,2023-07-20 14:00:00,101.66796875,101.71875,101.640625,101.70703125,60906
87,2023-07-20 15:00:00,101.66796875,101.6953125,101.65234375,101.66796875,25597
88,2023-07-20 16:00:00,101.68359375,101.6875,101.65625,101.671875,32577
89,2023-07-20 17:00:00,101.73046875,101.74609375,101.6796875,101.68359375,39205
90,2023-07-20 18:00:00,101.7265625,101.74609375,101.72265625,101.73046875,25610
91,2023-07-20 19:00:00,101.73828125,101.75390625,101.71875,101.72265625,21248
92,2023-07-20 20:00:00,101.71484375,101.73828125,101.703125,101.73828125,10963
